"id","type","label","spatially-within","url"
"projected-vicolo-r5-i5-r4-i1","street","Projected Vicolo V.5-IV.1","pompeii","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r5-i5-r4-i1"
"projected-vicolo-r5-i6-r5-i9-fortification-wall","street","Projected Vicolo V.6-9-Fortification Wall","r5","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r5-i6-r5-i9-fortification-wall"
"projected-vicolo-r5-i8-r5-i9","street","Projected Vicolo V.8-V.9","r5","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r5-i8-r5-i9"
"projected-vicolo-r9-i10-r9-i14","street","Projected Vicolo IX.10-IX.14","r9","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r9-i10-r9-i14"
"projected-vicolo-r9-i11-r9-i12","street","Projected Vicolo IX.11-IX.12","r9","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r9-i11-r9-i12"
"projected-vicolo-r9-i12-r9-i13","street","Projected Vicolo IX.12-IX.13","r9","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r9-i12-r9-i13"
"projected-vicolo-r9-i13-r3-i1","street","Projected Vicolo IX.13-III.1","pompeii","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r9-i13-r3-i1"
"projected-vicolo-r9-i14-r3-i8","street","Projected Vicolo IX.14-III.8","pompeii","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r9-i14-r3-i8"
"projected-vicolo-r9-i7-r9-i11","street","Projected Vicolo IX.7-IX.11","r9","http://p-lod.org/urn/urn:p-lod:id:projected-vicolo-r9-i7-r9-i11"
"via-consolare","street","Via Consolare","r6","http://p-lod.org/urn/urn:p-lod:id:via-consolare"
"via-degli-augustali","street","Via degli Augustali","r7","http://p-lod.org/urn/urn:p-lod:id:via-degli-augustali"
"via-dei-teatri","street","Via dei Teatri","r8","http://p-lod.org/urn/urn:p-lod:id:via-dei-teatri"
"via-del-foro","street","Via del Foro","r7","http://p-lod.org/urn/urn:p-lod:id:via-del-foro"
"via-del-tempio-d-iside","street","Via del Tempio d’Iside","r8","http://p-lod.org/urn/urn:p-lod:id:via-del-tempio-d-iside"
"via-del-vesuvio","street","Via del Vesuvio","pompeii","http://p-lod.org/urn/urn:p-lod:id:via-del-vesuvio"
"via-dell-abbondanza","street","Via dell'Abbondanza","pompeii","http://p-lod.org/urn/urn:p-lod:id:via-dell-abbondanza"
"via-della-fortuna","street","Via della Fortuna","pompeii","http://p-lod.org/urn/urn:p-lod:id:via-della-fortuna"
"via-della-palestra","street","Via della Palestra","Pompeii","http://p-lod.org/urn/urn:p-lod:id:via-della-palestra"
"via-delle-scuole","street","Via delle Scuole","r8","http://p-lod.org/urn/urn:p-lod:id:via-delle-scuole"
"via-delle-terme","street","Via delle Terme","pompeii","http://p-lod.org/urn/urn:p-lod:id:via-delle-terme"
"via-delle-tombe","street","Via delle Tombe","pompeii","http://p-lod.org/urn/urn:p-lod:id:via-delle-tombe"
"via-di-Nocera-north","street","Via di Nocera (North)","pompeii","http://p-lod.org/urn/urn:p-lod:id:via-di-Nocera-north"
"via-di-castricio","street","Via di Castricio","r1","http://p-lod.org/urn/urn:p-lod:id:via-di-castricio"
"via-di-mercurio","street","Via di Mercurio","r6","http://p-lod.org/urn/urn:p-lod:id:via-di-mercurio"
"via-di-nocera","street","Via di Nocera","pompeii","http://p-lod.org/urn/urn:p-lod:id:via-di-nocera"
"via-di-nola","street","Via di Nola","pompeii","http://p-lod.org/urn/urn:p-lod:id:via-di-nola"
"via-marina","street","Via Marina","pompeii","http://p-lod.org/urn/urn:p-lod:id:via-marina"
"via-mediana","street","Via Mediana","pompeii","http://p-lod.org/urn/urn:p-lod:id:via-mediana"
"via-stabiana","street","Via Stabiana","pompeii","http://p-lod.org/urn/urn:p-lod:id:via-stabiana"
"vicolo-dei-12-dei","street","Vicolo dei 12 Dei","r8","http://p-lod.org/urn/urn:p-lod:id:vicolo-dei-12-dei"
"vicolo-dei-fuggiaschi","street","Vicolo dei Fuggiaschi","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-dei-fuggiaschi"
"vicolo-dei-gladiatore","street","Vicolo dei Gladiatore","r5","http://p-lod.org/urn/urn:p-lod:id:vicolo-dei-gladiatore"
"vicolo-dei-gladiatori-south","street","Vicolo dei Gladiatori (South)","r9","http://p-lod.org/urn/urn:p-lod:id:vicolo-dei-gladiatori-south"
"vicolo-dei-soprastanti","street","Vicolo dei Soprastanti","r7","http://p-lod.org/urn/urn:p-lod:id:vicolo-dei-soprastanti"
"vicolo-dei-teatri","street","Vicolo dei Teatri","r8","http://p-lod.org/urn/urn:p-lod:id:vicolo-dei-teatri"
"vicolo-dei-vetti","street","Vicolo del Vetti","r6","http://p-lod.org/urn/urn:p-lod:id:vicolo-dei-vetti"
"vicolo-del-balcone-pensile","street","Vicolo dei balcone pensile","r7","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-balcone-pensile"
"vicolo-del-basilico","street","Vicolo del Basilico","r8","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-basilico"
"vicolo-del-centenario","street","Vicolo del Centenario","r9","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-centenario"
"vicolo-del-centenario-north","street","Vicolo del Centenario (North)","r9","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-centenario-north"
"vicolo-del-citarista","street","Vicolo del Citarista","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-citarista"
"vicolo-del-conciapelle","street","Vicolo del Conciapelle","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-conciapelle"
"vicolo-del-farmacista","street","Vicolo del Farmacista","r7","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-farmacista"
"vicolo-del-fauno","street","Vicolo del Fauno","","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-fauno"
"vicolo-del-foro","street","Vicolo del Foro","r8","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-foro"
