"concept","wikidataid","space","property","insula","region"
"acanthus","Q158091","r1-i10-p4-space-24","r1-i10-p4","r1-i10","r1"
"acanthus","Q158091","r1-i10-p4-space-48","r1-i10-p4","r1-i10","r1"
"acanthus","Q158091","r1-i6-p11-space-b","r1-i6-p11","r1-i6","r1"
"acanthus","Q158091","r1-i9-p5-space-10","r1-i9-p5","r1-i9","r1"
"acanthus","Q158091","r1-i9-p5-space-8","r1-i9-p5","r1-i9","r1"
"acanthus","Q158091","r5-i1-p26-space-p","r5-i1-p26","r5-i1","r5"
"acanthus","Q158091","r6-i17-p17-space-via-consolare","r6-i17-p17","r6-i17","r6"
"acanthus","Q158091","r6-i7-p23-space-24","r6-i7-p23","r6-i7","r6"
"acanthus","Q158091","r6-i7-p25-space-1","r6-i7-p25","r6-i7","r6"
"acanthus","Q158091","r7-i1-p25-space-10","r7-i1-p25","r7-i1","r7"
"acanthus","Q158091","r7-i15-p2-space-nprime","r7-i15-p2","r7-i15","r7"
"acanthus","Q158091","r7-i2-p6-space-e","r7-i2-p6","r7-i2","r7"
"acanthus","Q158091","r7-i4-p48-space-13","r7-i4-p48","r7-i4","r7"
"acanthus","Q158091","r7-i4-p48-space-4","r7-i4-p48","r7-i4","r7"
"acanthus","Q158091","r7-i4-p48-space-6","r7-i4-p48","r7-i4","r7"
"acanthus","Q158091","r7-i4-p62-space-4","r7-i4-p62","r7-i4","r7"
"acanthus","Q158091","r9-i8-p3-space-33","r9-i8-p3","r9-i8","r9"
"achilles","Q41746","r1-i6-p4-space-e","r1-i6-p4","r1-i6","r1"
"achilles","Q41746","r6-i15-p1-space-s","r6-i15-p1","r6-i15","r6"
"achilles","Q41746","r6-i16-p7-space-b","r6-i16-p7","r6-i16","r6"
"achilles","Q41746","r6-i16-p7-space-g","r6-i16-p7","r6-i16","r6"
"achilles","Q41746","r6-i7-p18-space-14","r6-i7-p18","r6-i7","r6"
"achilles","Q41746","r6-i7-p23-space-24","r6-i7-p23","r6-i7","r6"
"achilles","Q41746","r6-i9-p6-space-42","r6-i9-p6","r6-i9","r6"
"achilles","Q41746","r7-i3-p29-space-l","r7-i3-p29","r7-i3","r7"
"achilles","Q41746","r7-i4-p48-space-6","r7-i4-p48","r7-i4","r7"
"achilles","Q41746","r9-i2-p7-space-k","r9-i2-p7","r9-i2","r9"
"achilles","Q41746","r9-i3-p5-space-4","r9-i3-p5","r9-i3","r9"
"achilles","Q41746","r9-i3-p5-space-5","r9-i3-p5","r9-i3","r9"
"achilles","Q41746","r9-i5-p18-space-f","r9-i5-p18","r9-i5","r9"
"achilles","Q41746","r9-i5-p2-space-u","r9-i5-p2","r9-i5","r9"
"achilles","Q41746","r9-i7-p16-space-c","r9-i7-p16","r9-i7","r9"
"acroterion","Q421214","r1-i10-p11-space-12","r1-i10-p11","r1-i10","r1"
"acroterion","Q421214","r1-i10-p11-space-4","r1-i10-p11","r1-i10","r1"
"acroterion","Q421214","r1-i10-p11-space-7","r1-i10-p11","r1-i10","r1"
"acroterion","Q421214","r1-i10-p11-space-8","r1-i10-p11","r1-i10","r1"
"acroterion","Q421214","r1-i10-p4-space-19","r1-i10-p4","r1-i10","r1"
"acroterion","Q421214","r1-i10-p8-space-3","r1-i10-p8","r1-i10","r1"
"acroterion","Q421214","r1-i11-p6-space-4","r1-i11-p6","r1-i11","r1"
"acroterion","Q421214","r1-i16-p3-space-2","r1-i16-p3","r1-i16","r1"
"acroterion","Q421214","r1-i17-p2-space-4","r1-i17-p2","r1-i17","r1"
"acroterion","Q421214","r1-i22-p3-space-1","r1-i22-p3","r1-i22","r1"
"acroterion","Q421214","r1-i6-p15-space-e","r1-i6-p15","r1-i6","r1"
"acroterion","Q421214","r1-i6-p4-space-c","r1-i6-p4","r1-i6","r1"
"acroterion","Q421214","r1-i6-p4-space-h","r1-i6-p4","r1-i6","r1"
"acroterion","Q421214","r1-i7-p10-space-17","r1-i7-p10","r1-i7","r1"
"acroterion","Q421214","r1-i7-p18-space-c","r1-i7-p18","r1-i7","r1"
"acroterion","Q421214","r1-i9-p3-space-5","r1-i9-p3","r1-i9","r1"
"acroterion","Q421214","r2-i3-p3-space-11","r2-i3-p3","r2-i3","r2"
"acroterion","Q421214","r3-i2-p1-space-d","r3-i2-p1","r3-i2","r3"
"acroterion","Q421214","r3-i4-p4-space-b","r3-i4-p4","r3-i4","r3"
"acroterion","Q421214","r5-i1-p18-space-l","r5-i1-p18","r5-i1","r5"
"acroterion","Q421214","r5-i1-p26-space-b","r5-i1-p26","r5-i1","r5"
"acroterion","Q421214","r5-i1-p26-space-i","r5-i1-p26","r5-i1","r5"
"acroterion","Q421214","r5-i1-p7-space-7","r5-i1-p7","r5-i1","r5"
"acroterion","Q421214","r5-i2-pi-space-q","r5-i2-pi","r5-i2","r5"
"acroterion","Q421214","r5-i4-p3-space-d","r5-i4-p3","r5-i4","r5"
"acroterion","Q421214","r6-i14-p20-space-r","r6-i14-p20","r6-i14","r6"
"acroterion","Q421214","r6-i8-p23-space-15","r6-i8-p23","r6-i8","r6"
"acroterion","Q421214","r6-i8-p23-space-7","r6-i8-p23","r6-i8","r6"
"acroterion","Q421214","r7-i3-p29-space-l","r7-i3-p29","r7-i3","r7"
"acroterion","Q421214","r7-i4-p48-space-10","r7-i4-p48","r7-i4","r7"
"acroterion","Q421214","r9-i1-p22-space-h","r9-i1-p22","r9-i1","r9"
"acroterion","Q421214","r9-i1-p7-space-e","r9-i1-p7","r9-i1","r9"
"acroterion","Q421214","r9-i5-p2-space-u","r9-i5-p2","r9-i5","r9"
"actaeon","Q208531","r1-i10-p4-space-22","r1-i10-p4","r1-i10","r1"
"actaeon","Q208531","r1-i11-p6-space-10","r1-i11-p6","r1-i11","r1"
"actaeon","Q208531","r1-i9-p5-space-11","r1-i9-p5","r1-i9","r1"
"actaeon","Q208531","r5-i1-p18-space-p","r5-i1-p18","r5-i1","r5"
"actaeon","Q208531","r6-i13-p19-space-h","r6-i13-p19","r6-i13","r6"
"actaeon","Q208531","r6-i16-p7-space-r","r6-i16-p7","r6-i16","r6"
"actaeon","Q208531","r7-i4-p48-space-15","r7-i4-p48","r7-i4","r7"
"actaeon","Q208531","r9-i2-p16-space-b","r9-i2-p16","r9-i2","r9"
"actaeon","Q208531","r9-i7-p16-space-b","r9-i7-p16","r9-i7","r9"
"actor","Q33999","r5-i1-p26-space-b","r5-i1-p26","r5-i1","r5"
"actor","Q33999","r7-i15-p2-space-x","r7-i15-p2","r7-i15","r7"
"actor","Q33999","r9-i3-p5-space-16","r9-i3-p5","r9-i3","r9"
"actor","Q33999","r9-i3-p5-space-8","r9-i3-p5","r9-i3","r9"
"admetus","Q192109","r5-i1-p18-space-l","r5-i1-p18","r5-i1","r5"
"admetus","Q192109","r6-i8-p5-space-8","r6-i8-p5","r6-i8","r6"
"adonis","Q163920","r1-i4-p5-space-37","r1-i4-p5","r1-i4","r1"
"adonis","Q163920","r1-i9-p3-space-5","r1-i9-p3","r1-i9","r1"
"adonis","Q163920","r5-i1-p18-space-g","r5-i1-p18","r5-i1","r5"
"adonis","Q163920","r6-i13-p6-space-4","r6-i13-p6","r6-i13","r6"
"adonis","Q163920","r6-i13-p6-space-7","r6-i13-p6","r6-i13","r6"
"adonis","Q163920","r6-i15-p6-space-l","r6-i15-p6","r6-i15","r6"
"adonis","Q163920","r6-i15-p8-space-k","r6-i15-p8","r6-i15","r6"
"adonis","Q163920","r6-i16-p26-space-g","r6-i16-p26","r6-i16","r6"
"adonis","Q163920","r6-i7-p18-space-14","r6-i7-p18","r6-i7","r6"
"adonis","Q163920","r6-i7-p23-space-25","r6-i7-p23","r6-i7","r6"
"adonis","Q163920","r6-i7-p23-space-7","r6-i7-p23","r6-i7","r6"
"adonis","Q163920","r6-i9-p2-space-16","r6-i9-p2","r6-i9","r6"
"adonis","Q163920","r6-i9-p6-space-43","r6-i9-p6","r6-i9","r6"
"adonis","Q163920","r6-i9-p6-space-44","r6-i9-p6","r6-i9","r6"
"adonis","Q163920","r9-i7-p20-space-i","r9-i7-p20","r9-i7","r9"
"aediculum","Q507286","r1-i10-p11-space-1","r1-i10-p11","r1-i10","r1"
"aediculum","Q507286","r1-i10-p11-space-12","r1-i10-p11","r1-i10","r1"
"aediculum","Q507286","r1-i10-p4-space-19","r1-i10-p4","r1-i10","r1"
"aediculum","Q507286","r1-i10-p7-space-9","r1-i10-p7","r1-i10","r1"
"aediculum","Q507286","r1-i11-p6-space-10","r1-i11-p6","r1-i11","r1"
"aediculum","Q507286","r1-i12-p8-space-12","r1-i12-p8","r1-i12","r1"
"aediculum","Q507286","r1-i13-p1-space-4","r1-i13-p1","r1-i13","r1"
"aediculum","Q507286","r1-i13-p4-space-7","r1-i13-p4","r1-i13","r1"
"aediculum","Q507286","r1-i13-p8-space-3","r1-i13-p8","r1-i13","r1"
"aediculum","Q507286","r1-i16-p4-space-3","r1-i16-p4","r1-i16","r1"
"aediculum","Q507286","r1-i17-p4-space-7","r1-i17-p4","r1-i17","r1"
"aediculum","Q507286","r1-i3-p25-space-h","r1-i3-p25","r1-i3","r1"
"aediculum","Q507286","r1-i3-p3-space-d","r1-i3-p3","r1-i3","r1"
"aediculum","Q507286","r1-i7-p1-space-16","r1-i7-p1","r1-i7","r1"
"aediculum","Q507286","r1-i7-p1-space-6","r1-i7-p1","r1-i7","r1"
"aediculum","Q507286","r1-i7-p1-space-9","r1-i7-p1","r1-i7","r1"
"aediculum","Q507286","r1-i7-p10-space-11","r1-i7-p10","r1-i7","r1"
"aediculum","Q507286","r1-i7-p10-space-17","r1-i7-p10","r1-i7","r1"
"aediculum","Q507286","r1-i7-p10-space-aprime","r1-i7-p10","r1-i7","r1"
"aediculum","Q507286","r1-i7-p2-space-b","r1-i7-p2","r1-i7","r1"
"aediculum","Q507286","r1-i7-p7-space-m","r1-i7-p7","r1-i7","r1"
"aediculum","Q507286","r1-i8-p17-space-16","r1-i8-p17","r1-i8","r1"
"aediculum","Q507286","r1-i8-p17-space-18","r1-i8-p17","r1-i8","r1"
"aediculum","Q507286","r1-i8-p8-space-2","r1-i8-p8","r1-i8","r1"
"aediculum","Q507286","r1-i9-p1-space-11","r1-i9-p1","r1-i9","r1"
"aediculum","Q507286","r1-i9-p5-space-11","r1-i9-p5","r1-i9","r1"
"aediculum","Q507286","r2-i1-p9-space-1","r2-i1-p9","r2-i1","r2"
"aediculum","Q507286","r3-i4-p4-space-a","r3-i4-p4","r3-i4","r3"
"aediculum","Q507286","r3-i4-p4-space-b","r3-i4-p4","r3-i4","r3"
"aediculum","Q507286","r3-i4-p4-space-g","r3-i4-p4","r3-i4","r3"
"aediculum","Q507286","r5-i1-p18-space-l","r5-i1-p18","r5-i1","r5"
"aediculum","Q507286","r5-i2-p1-space-p","r5-i2-p1","r5-i2","r5"
"aediculum","Q507286","r5-i2-p1-space-r","r5-i2-p1","r5-i2","r5"
"aediculum","Q507286","r5-i2-pi-space-d","r5-i2-pi","r5-i2","r5"
"aediculum","Q507286","r5-i2-pi-space-p","r5-i2-pi","r5-i2","r5"
"aediculum","Q507286","r5-i3-p4-space-g","r5-i3-p4","r5-i3","r5"
"aediculum","Q507286","r6-i10-p11-space-2","r6-i10-p11","r6-i10","r6"
"aediculum","Q507286","r6-i10-p7-space-9","r6-i10-p7","r6-i10","r6"
"aediculum","Q507286","r6-i11-p19-space-7","r6-i11-p19","r6-i11","r6"
"aediculum","Q507286","r6-i14-p20-space-o","r6-i14-p20","r6-i14","r6"
"aediculum","Q507286","r6-i14-p22-space-f","r6-i14-p22","r6-i14","r6"
"aediculum","Q507286","r6-i14-p28-space-c","r6-i14-p28","r6-i14","r6"
"aediculum","Q507286","r6-i14-p40-space-l","r6-i14-p40","r6-i14","r6"
"aediculum","Q507286","r6-i15-p1-space-e","r6-i15-p1","r6-i15","r6"
"aediculum","Q507286","r6-i15-p1-space-l","r6-i15-p1","r6-i15","r6"
"aediculum","Q507286","r6-i8-p23-space-7","r6-i8-p23","r6-i8","r6"
"aediculum","Q507286","r6-i9-p2-space-1","r6-i9-p2","r6-i9","r6"
"aediculum","Q507286","r6-i9-p6-space-35","r6-i9-p6","r6-i9","r6"
"aediculum","Q507286","r6-i9-p6-space-44","r6-i9-p6","r6-i9","r6"
"aediculum","Q507286","r7-i2-p16-space-o","r7-i2-p16","r7-i2","r7"
"aediculum","Q507286","r7-i2-p6-space-h","r7-i2-p6","r7-i2","r7"
"aediculum","Q507286","r7-i3-p29-space-l","r7-i3-p29","r7-i3","r7"
"aediculum","Q507286","r7-i4-p31-space-17","r7-i4-p31","r7-i4","r7"
"aediculum","Q507286","r7-i4-p48-space-10","r7-i4-p48","r7-i4","r7"
"aediculum","Q507286","r7-i6-p28-space-8","r7-i6-p28","r7-i6","r7"
"aediculum","Q507286","r8-i2-p23-space-fprime","r8-i2-p23","r8-i2","r8"
"aediculum","Q507286","r8-i2-p29-space-5","r8-i2-p29","r8-i2","r8"
"aediculum","Q507286","r8-i6-p4-space-d","r8-i6-p4","r8-i6","r8"
"aediculum","Q507286","r8-i7-p24-space-17","r8-i7-p24","r8-i7","r8"
"aediculum","Q507286","r9-i1-p20-space-g","r9-i1-p20","r9-i1","r9"
"aediculum","Q507286","r9-i1-p22-space-d","r9-i1-p22","r9-i1","r9"
"aediculum","Q507286","r9-i1-p22-space-e","r9-i1-p22","r9-i1","r9"
"aediculum","Q507286","r9-i1-p7-space-d","r9-i1-p7","r9-i1","r9"
"aediculum","Q507286","r9-i5-p2-space-c","r9-i5-p2","r9-i5","r9"
"aediculum","Q507286","r9-i5-p2-space-u","r9-i5-p2","r9-i5","r9"
"aediculum","Q507286","r9-i7-p20-space-d","r9-i7-p20","r9-i7","r9"
"aediculum","Q507286","r9-i8-p3-space-42","r9-i8-p3","r9-i8","r9"
"aediculum","Q507286","r9-i8-p3-space-43","r9-i8-p3","r9-i8","r9"
"aegis","Q190662","r1-i7-p10-space-16","r1-i7-p10","r1-i7","r1"
"aeneas","Q82732","r6-i14-p30-space-k","r6-i14-p30","r6-i14","r6"
"aeneas","Q82732","r6-i9-p3-space-12","r6-i9-p3","r6-i9","r6"
"aeneas","Q82732","r9-i6-pe-space-e","r9-i6-pe","r9-i6","r9"
"aethra","Q11921121","r1-i2-p6-space-m","r1-i2-p6","r1-i2","r1"
"agave","","r9-i9-p11-space-h","r9-i9-p11","r9-i9","r9"
"ajax","Q172725","r1-i10-p4-space-4","r1-i10-p4","r1-i10","r1"
"alabastron","","r8-i7-p28-space-12","r8-i7-p28","r8-i7","r8"
"alcestis","Q320449","r5-i1-p18-space-l","r5-i1-p18","r5-i1","r5"
"alcestis","Q320449","r6-i8-p5-space-8","r6-i8-p5","r6-i8","r6"
"alcmene","Q190543","r7-i3-p12-space-i","r7-i3-p12","r7-i3","r7"
"alcove","Q1067091","r5-i4-pc-space-h","r5-i4-pc","r5-i4","r5"
"alcove","Q1067091","r6-i14-p38-space-d","r6-i14-p38","r6-i14","r6"
"alcove","Q1067091","r6-i14-p43-space-11","r6-i14-p43","r6-i14","r6"
"alcove","Q1067091","r6-i8-p20-space-11","r6-i8-p20","r6-i8","r6"
"alcove","Q1067091","r6-i8-p23-space-11","r6-i8-p23","r6-i8","r6"
"alcove","Q1067091","r7-i15-p2-space-k","r7-i15-p2","r7-i15","r7"
"alcove","Q1067091","r7-i2-p16-space-r","r7-i2-p16","r7-i2","r7"
"alcove","Q1067091","r9-i5-p11-space-k","r9-i5-p11","r9-i5","r9"
"alemena","","r6-i15-p1-space-n","r6-i15-p1","r6-i15","r6"
"aloe","","r7-i1-p40-space-12","r7-i1-p40","r7-i1","r7"
"aloe","","r9-i5-p6-space-e","r9-i5-p6","r9-i5","r9"
"altar","Q101687","r1-i11-p1-space-vicolo-r1-i9-r1-i11","r1-i11-p1","r1-i11","r1"
"altar","Q101687","r1-i11-p15-space-10","r1-i11-p15","r1-i11","r1"
"altar","Q101687","r1-i12-p11-space-4","r1-i12-p11","r1-i12","r1"
"altar","Q101687","r1-i12-p3-space-7","r1-i12-p3","r1-i12","r1"
"altar","Q101687","r1-i12-p8-space-12","r1-i12-p8","r1-i12","r1"
"altar","Q101687","r1-i12-p8-space-6","r1-i12-p8","r1-i12","r1"
"altar","Q101687","r1-i12-p9-space-3","r1-i12-p9","r1-i12","r1"
"altar","Q101687","r1-i12-p9-space-7","r1-i12-p9","r1-i12","r1"
"altar","Q101687","r1-i13-p11-space-1","r1-i13-p11","r1-i13","r1"
"altar","Q101687","r1-i13-p2-space-17","r1-i13-p2","r1-i13","r1"
"altar","Q101687","r1-i16-p3-space-3","r1-i16-p3","r1-i16","r1"
"altar","Q101687","r1-i16-p3-space-7","r1-i16-p3","r1-i16","r1"
"altar","Q101687","r1-i17-p4-space-8","r1-i17-p4","r1-i17","r1"
"altar","Q101687","r1-i2-p3-space-a","r1-i2-p3","r1-i2","r1"
"altar","Q101687","r1-i2-p6-space-m","r1-i2-p6","r1-i2","r1"
"altar","Q101687","r1-i20-p1-space-2","r1-i20-p1","r1-i20","r1"
"altar","Q101687","r1-i3-p30-space-f","r1-i3-p30","r1-i3","r1"
"altar","Q101687","r1-i6-p11-space-4","r1-i6-p11","r1-i6","r1"
"altar","Q101687","r1-i6-p15-space-h","r1-i6-p15","r1-i6","r1"
"altar","Q101687","r1-i6-p2-space-12","r1-i6-p2","r1-i6","r1"
"altar","Q101687","r1-i7-p10-space-18","r1-i7-p10","r1-i7","r1"
"altar","Q101687","r1-i7-p10-space-aprime","r1-i7-p10","r1-i7","r1"
"altar","Q101687","r1-i7-p19-space-b","r1-i7-p19","r1-i7","r1"
"altar","Q101687","r1-i8-p10-space-1","r1-i8-p10","r1-i8","r1"
"altar","Q101687","r1-i8-p17-space-3","r1-i8-p17","r1-i8","r1"
"altar","Q101687","r1-i8-p18-space-8","r1-i8-p18","r1-i8","r1"
"altar","Q101687","r1-i8-p8-space-1","r1-i8-p8","r1-i8","r1"
"altar","Q101687","r1-i9-p1-space-1","r1-i9-p1","r1-i9","r1"
"altar","Q101687","r1-i9-p13-space-o","r1-i9-p13","r1-i9","r1"
"altar","Q101687","r1-i9-p5-space-11","r1-i9-p5","r1-i9","r1"
"altar","Q101687","r2-i1-p1-space-3","r2-i1-p1","r2-i1","r2"
"altar","Q101687","r2-i1-p9-space-1","r2-i1-p9","r2-i1","r2"
"altar","Q101687","r5-i1-p18-space-l","r5-i1-p18","r5-i1","r5"
"altar","Q101687","r5-i1-p23-space-n","r5-i1-p23","r5-i1","r5"
"altar","Q101687","r5-i2-p10-space-k","r5-i2-p10","r5-i2","r5"
"altar","Q101687","r5-i2-p10-space-q","r5-i2-p10","r5-i2","r5"
"altar","Q101687","r5-i2-p13-space-h","r5-i2-p13","r5-i2","r5"
"altar","Q101687","r5-i2-p15-space-pprime","r5-i2-p15","r5-i2","r5"
"altar","Q101687","r5-i2-p15-space-zprime","r5-i2-p15","r5-i2","r5"
"altar","Q101687","r5-i2-pc-space-b","r5-i2-pc","r5-i2","r5"
"altar","Q101687","r5-i2-pd-space-n","r5-i2-pd","r5-i2","r5"
"altar","Q101687","r5-i2-pg-space-h","r5-i2-pg","r5-i2","r5"
"altar","Q101687","r5-i2-ph-space-a","r5-i2-ph","r5-i2","r5"
"altar","Q101687","r5-i2-ph-space-k","r5-i2-ph","r5-i2","r5"
"altar","Q101687","r5-i2-ph-space-o","r5-i2-ph","r5-i2","r5"
"altar","Q101687","r5-i2-pi-space-5","r5-i2-pi","r5-i2","r5"
"altar","Q101687","r5-i2-pi-space-k","r5-i2-pi","r5-i2","r5"
"altar","Q101687","r5-i2-pi-space-s","r5-i2-pi","r5-i2","r5"
"altar","Q101687","r5-i3-p9-space-a","r5-i3-p9","r5-i3","r5"
"altar","Q101687","r5-i3-p9-space-b","r5-i3-p9","r5-i3","r5"
"altar","Q101687","r5-i3-p9-space-d","r5-i3-p9","r5-i3","r5"
"altar","Q101687","r5-i4-p3-space-bprime","r5-i4-p3","r5-i4","r5"
"altar","Q101687","r5-i4-pa-space-4","r5-i4-pa","r5-i4","r5"
"altar","Q101687","r5-i4-pb-space-n","r5-i4-pb","r5-i4","r5"
"altar","Q101687","r6-i1-p19-space-via-consolare","r6-i1-p19","r6-i1","r6"
"altar","Q101687","r6-i11-p10-space-43","r6-i11-p10","r6-i11","r6"
"altar","Q101687","r6-i11-p19-space-2","r6-i11-p19","r6-i11","r6"
"altar","Q101687","r6-i13-p2-space-14","r6-i13-p2","r6-i13","r6"
"altar","Q101687","r6-i14-p20-space-q","r6-i14-p20","r6-i14","r6"
"altar","Q101687","r6-i14-p43-space-14","r6-i14-p43","r6-i14","r6"
"altar","Q101687","r6-i15-p1-space-q","r6-i15-p1","r6-i15","r6"
"altar","Q101687","r6-i15-p23-space-c","r6-i15-p23","r6-i15","r6"
"altar","Q101687","r6-i16-p12-space-d","r6-i16-p12","r6-i16","r6"
"altar","Q101687","r6-i16-p15-space-b","r6-i16-p15","r6-i16","r6"
"altar","Q101687","r6-i16-p29-space-o","r6-i16-p29","r6-i16","r6"
"altar","Q101687","r6-i16-p40-space-b","r6-i16-p40","r6-i16","r6"
"altar","Q101687","r6-i16-p40-space-c","r6-i16-p40","r6-i16","r6"
"altar","Q101687","r6-i16-p40-space-d","r6-i16-p40","r6-i16","r6"
"altar","Q101687","r6-i16-p40-space-f","r6-i16-p40","r6-i16","r6"
"altar","Q101687","r6-i16-p7-space-f","r6-i16-p7","r6-i16","r6"
"altar","Q101687","r6-i17-p41-space-6","r6-i17-p41","r6-i17","r6"
"altar","Q101687","r6-i4-p1-space-via-consolare","r6-i4-p1","r6-i4","r6"
"altar","Q101687","r6-i7-p15-space-11","r6-i7-p15","r6-i7","r6"
"altar","Q101687","r6-i7-p23-space-15","r6-i7-p23","r6-i7","r6"
"altar","Q101687","r6-i8-p23-space-10","r6-i8-p23","r6-i8","r6"
"altar","Q101687","r6-i9-p2-space-15","r6-i9-p2","r6-i9","r6"
"altar","Q101687","r6-i9-p6-space-50","r6-i9-p6","r6-i9","r6"
"altar","Q101687","r6-i9-p6-space-55","r6-i9-p6","r6-i9","r6"
"altar","Q101687","r7-i1-p25-space-12","r7-i1-p25","r7-i1","r7"
"altar","Q101687","r7-i11-p11-space-y","r7-i11-p11","r7-i11","r7"
"altar","Q101687","r7-i12-p11-space-d","r7-i12-p11","r7-i12","r7"
"altar","Q101687","r7-i15-p12-space-g","r7-i15-p12","r7-i15","r7"
"altar","Q101687","r7-i15-p13-space-g","r7-i15-p13","r7-i15","r7"
"altar","Q101687","r7-i15-p4-space-f","r7-i15-p4","r7-i15","r7"
"altar","Q101687","r7-i16-p22-space-28","r7-i16-p22","r7-i16","r7"
"altar","Q101687","r7-i16-p22-space-4","r7-i16-p22","r7-i16","r7"
"altar","Q101687","r7-i2-p14-space-e","r7-i2-p14","r7-i2","r7"
"altar","Q101687","r7-i2-p14-space-l","r7-i2-p14","r7-i2","r7"
"altar","Q101687","r7-i2-p20-space-v","r7-i2-p20","r7-i2","r7"
"altar","Q101687","r7-i2-p23-space-f","r7-i2-p23","r7-i2","r7"
"altar","Q101687","r7-i2-p45-space-f","r7-i2-p45","r7-i2","r7"
"altar","Q101687","r7-i4-p20-space-3","r7-i4-p20","r7-i4","r7"
"altar","Q101687","r7-i4-p59-space-y","r7-i4-p59","r7-i4","r7"
"altar","Q101687","r7-i6-p3-space-19","r7-i6-p3","r7-i6","r7"
"altar","Q101687","r7-i6-p35-space-61","r7-i6-p35","r7-i6","r7"
"altar","Q101687","r7-i9-p33-space-2","r7-i9-p33","r7-i9","r7"
"altar","Q101687","r7-i9-p47-space-9","r7-i9-p47","r7-i9","r7"
"altar","Q101687","r8-i2-p39-space-f","r8-i2-p39","r8-i2","r8"
"altar","Q101687","r8-i7-p24-space-7","r8-i7-p24","r8-i7","r8"
"altar","Q101687","r9-i1-p1-space-via-dell-abbondanza","r9-i1-p1","r9-i1","r9"
"altar","Q101687","r9-i1-p12-space-k","r9-i1-p12","r9-i1","r9"
"altar","Q101687","r9-i2-p12-space-vicolo-di-balbo","r9-i2-p12","r9-i2","r9"
"altar","Q101687","r9-i2-p17-space-h","r9-i2-p17","r9-i2","r9"
"altar","Q101687","r9-i2-p21-space-k","r9-i2-p21","r9-i2","r9"
"altar","Q101687","r9-i2-p24-space-g","r9-i2-p24","r9-i2","r9"
"altar","Q101687","r9-i2-p26-space-d","r9-i2-p26","r9-i2","r9"
"altar","Q101687","r9-i3-p12-space-a","r9-i3-p12","r9-i3","r9"
"altar","Q101687","r9-i3-p12-space-b","r9-i3-p12","r9-i3","r9"
"altar","Q101687","r9-i3-p12-space-d","r9-i3-p12","r9-i3","r9"
"altar","Q101687","r9-i3-p14-space-a","r9-i3-p14","r9-i3","r9"
"altar","Q101687","r9-i3-p14-space-b","r9-i3-p14","r9-i3","r9"
"altar","Q101687","r9-i3-p20-space-i","r9-i3-p20","r9-i3","r9"
"altar","Q101687","r9-i3-p5-space-a","r9-i3-p5","r9-i3","r9"
"altar","Q101687","r9-i5-p16-space-eprime","r9-i5-p16","r9-i5","r9"
"altar","Q101687","r9-i5-p18-space-f","r9-i5-p18","r9-i5","r9"
"altar","Q101687","r9-i5-p2-space-s","r9-i5-p2","r9-i5","r9"
"altar","Q101687","r9-i5-p9-space-a","r9-i5-p9","r9-i5","r9"
"altar","Q101687","r9-i5-p9-space-l","r9-i5-p9","r9-i5","r9"
"altar","Q101687","r9-i5-p9-space-n","r9-i5-p9","r9-i5","r9"
"altar","Q101687","r9-i6-p3-space-i","r9-i6-p3","r9-i6","r9"
"altar","Q101687","r9-i6-p8-space-9","r9-i6-p8","r9-i6","r9"
"altar","Q101687","r9-i7-p14-space-2","r9-i7-p14","r9-i7","r9"
"altar","Q101687","r9-i7-p16-space-d","r9-i7-p16","r9-i7","r9"
"altar","Q101687","r9-i7-p20-space-vicolo-di-tesmo","r9-i7-p20","r9-i7","r9"
"altar","Q101687","r9-i8-p3-space-2","r9-i8-p3","r9-i8","r9"
"altar","Q101687","r9-i8-p3-space-40","r9-i8-p3","r9-i8","r9"
"altar","Q101687","r9-i8-p3-space-41","r9-i8-p3","r9-i8","r9"
"altar","Q101687","r9-i8-p7-space-1","r9-i8-p7","r9-i8","r9"
"altar","Q101687","r9-i9-p12-space-e","r9-i9-p12","r9-i9","r9"
"altar","Q101687","r9-i9-p12-space-m","r9-i9-p12","r9-i9","r9"
"altar","Q101687","r9-i9-p8-space-g","r9-i9-p8","r9-i9","r9"
"altar","Q101687","r9-i9-pc-space-k","r9-i9-pc","r9-i9","r9"
"amazon","Q134154","r6-i15-p1-space-o","r6-i15-p1","r6-i15","r6"
"amazon","Q134154","r6-i2-p14-space-11","r6-i2-p14","r6-i2","r6"
"amazon","Q134154","r7-i1-p25-space-31","r7-i1-p25","r7-i1","r7"
"amazon","Q134154","r7-i3-p29-space-h","r7-i3-p29","r7-i3","r7"
"amazon","Q134154","r7-i4-p59-space-y","r7-i4-p59","r7-i4","r7"
"amazon","Q134154","r9-i2-p16-space-e","r9-i2-p16","r9-i2","r9"
"amor","","r5-i4-p3-space-bprime","r5-i4-p3","r5-i4","r5"
"amphitrite","","r9-i5-p14-space-k","r9-i5-p14","r9-i5","r9"
"amphitryton","","r6-i15-p1-space-n","r6-i15-p1","r6-i15","r6"
"amphora","Q178401","r1-i6-p11-space-4","r1-i6-p11","r1-i6","r1"
"amphora","Q178401","r1-i8-p17-space-18","r1-i8-p17","r1-i8","r1"
"amphora","Q178401","r3-i4-p4-space-a","r3-i4-p4","r3-i4","r3"
"amphora","Q178401","r5-i1-p18-space-d","r5-i1-p18","r5-i1","r5"
"amphora","Q178401","r5-i2-p1-space-r","r5-i2-p1","r5-i2","r5"
