"id","arcgis-id","description","type","label","identifier","image-url","p-in-p-url","pleiades-url","plod-english-title","plod-italian-title","spatially-within","surface-area","wiki-en-url","wiki-it-url","wikidata-url","url"
"r1-i1-p1","BLD_000001","Entertainment Buildings","property","Property I.1.1","r1-i1-p1","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2001.htm","","Caupona of Epagatus","","r1-i1","91.35819","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p1"
"r1-i1-p2","BLD_000002","Entertainment Buildings","property","Property I.1.2","r1-i1-p2","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2002.htm","","Bar","","r1-i1","82.90088","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p2"
"r1-i1-p3","BLD_000003","Entertainment Buildings","property","Property I.1.3","r1-i1-p3","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2003.htm","","Statio of the muliones","","r1-i1","335.1821","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p3"
"r1-i1-p5","","","property","","","","","","","","r1-i1","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p5"
"r1-i1-p6","","","property","","","","","","","","r1-i1","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p6"
"r1-i1-p7","","","property","","","","","","","","r1-i1","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p7"
"r1-i1-p8","BLD_000004","Entertainment Buildings; Guilds","property","Property I.1.8","r1-i1-p8","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2008.htm","","Hospitium - Statio mulionum of Hermes.","","r1-i1","313.9267","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p8"
"r1-i1-p9","","","property","","","","","","","","r1-i1","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i1-p9"
"r1-i10-p1","BLD_000005","Shops","property","Property I.10.1","r1-i10-p1","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2001.htm","","","","r1-i10","93.90915","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p1"
"r1-i10-p10","","","property","","","","","","","","r1-i10","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p10"
"r1-i10-p11","BLD_000006","Private Dwellings; Shops","property","Property I.10.11","r1-i10-p11","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2011.htm","","Casa di Tiberius-Claudius Eulogus","","r1-i10","487.3808","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p11"
"r1-i10-p12","BLD_000007","Temples","property","Property I.10.12","r1-i10-p12","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2012.htm","","","","r1-i10","29.80038","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p12"
"r1-i10-p13","BLD_000008","Entertainment Buildings","property","Property I.10.13","r1-i10-p13","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2013.htm","","Caupona of the Poppaei","","r1-i10","29.99351","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p13"
"r1-i10-p18","BLD_000009","Private Dwellings","property","Property I.10.18","r1-i10-p18","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2018.htm","","Domus of Aufidius Primus and Ampliatus","","r1-i10","132.5168","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p18"
"r1-i10-p2","","","property","","","","","","","","r1-i10","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p2"
"r1-i10-p3","BLD_000010","Entertainment Buildings","property","Property I.10.3","r1-i10-p3","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2003.htm","","Taberna of Coponia","","r1-i10","83.58117","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p3"
"r1-i10-p4","BLD_000011","Private Dwellings; Shops","property","Property I.10.4 (House of Menander)","r1-i10-p4","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2004%20plan.htm","https://pleiades.stoa.org/places/690549463","House of Menander","Casa del Menandro","r1-i10","1846.709","https://en.wikipedia.org/wiki/House_of_Menander","https://it.wikipedia.org/wiki/Casa_del_Menandro","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p4"
"r1-i10-p5","","","property","","","","","","","","r1-i10","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p5"
"r1-i10-p6","BLD_000012","Workshops","property","Property I.10.6","r1-i10-p6","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2006.htm","","","","r1-i10","40.96107","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p6"
"r1-i10-p7","BLD_000013","Private Dwellings","property","Property I.10.7","r1-i10-p7","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2007.htm","","Domus and officina of M. Volusius Iuvencus and Equitia","","r1-i10","311.0275","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p7"
"r1-i10-p8","BLD_000014","Workshops","property","Property I.10.8","r1-i10-p8","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2008.htm","","Casa degli amanti","","r1-i10","287.0395","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p8"
"r1-i10-p9","BLD_000015","Shops","property","Property I.10.9","r1-i10-p9","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2010%2009.htm","","Taberna of P.C.F.","","r1-i10","10.42447","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i10-p9"
"r1-i11-p1","BLD_000016","Entertainment Buildings; Shops","property","Property I.11.1","r1-i11-p1","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2011%2001.htm","","","","r1-i11","199.4768","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i11-p1"
"r1-i11-p10","","","property","","","","","","","","r1-i11","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i11-p10"
"r1-i11-p12","BLD_000017","Private Dwellings; Entertainment Buildings; Market Gardens","property","Property I.11.12","r1-i11-p12","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2011%2012.htm","","Domus of Euxinus","","r1-i11","775.8517","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i11-p12"
"r1-i11-p13","BLD_000018","Private Dwellings","property","Property I.11.13","r1-i11-p13","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2011%2013.htm","","","","r1-i11","180.0047","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i11-p13"
"r1-i11-p14","BLD_000019","Private Dwellings; Market Gardens","property","Property I.11.14","r1-i11-p14","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2011%2014.htm","","","","r1-i11","416.4403","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i11-p14"
"r1-i11-p15","BLD_000020","Private Dwellings","property","Property I.11.15","r1-i11-p15","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2011%2015.htm","","Casa del piano superiore","","r1-i11","471.6789","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i11-p15"
"r1-i11-p16","BLD_000021","Private Dwellings","property","Property I.11.16","r1-i11-p16","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2011%2016.htm","","Domus of Saturninus","","r1-i11","173.2528","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i11-p16"
"r1-i11-p17","BLD_000022","Private Dwellings","property","Property I.11.17","r1-i11-p17","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2011%2017.htm","","Casa Imperiale","","r1-i11","135.6384","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i11-p17"
"r1-i11-p2","","","property","","","","","","","","r1-i11","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i11-p2"
"r1-i11-p3","BLD_000023","Shops","property","Property I.11.3","r1-i11-p3","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2011%2003.htm","","","","r1-i11","63.7853","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i11-p3"
"r1-i11-p4","BLD_000024","Shops","property","Property I.11.4","r1-i11-p4","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2011%2004.htm","","","","r1-i11","9.739082","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i11-p4"
"r1-i11-p5","BLD_000025","Private Dwellings","property","Property I.11.5","r1-i11-p5","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2011%2005.htm","","Domus of Lollius Synhodus","","r1-i11","347.2559","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i11-p5"
"r1-i11-p6","BLD_000026","Private Dwellings; Shops","property","Property I.11.6","r1-i11-p6","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2011%2006.htm","","Domus of Maximus","","r1-i11","180.6024","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i11-p6"
"r1-i11-p7","","","property","","","","","","","","r1-i11","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i11-p7"
"r1-i12-p1","BLD_000027","Workshops; Shops","property","Property I.12.1","r1-i12-p1","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2012%2001.htm","","Pistrinum of Sotericus","","r1-i12","529.7327","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i12-p1"
"r1-i12-p11","BLD_000028","Private Dwellings; Shops; Workshops","property","Property I.12.11","r1-i12-p11","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2012%2011.htm","","","","r1-i12","248.1762","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i12-p11"
"r1-i12-p12","BLD_000029","Shops","property","Property I.12.12","r1-i12-p12","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2012%2012.htm","","","","r1-i12","41.36631","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i12-p12"
"r1-i12-p13","","","property","","","","","","","","r1-i12","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i12-p13"
"r1-i12-p14","","","property","","","","","","","","r1-i12","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i12-p14"
"r1-i12-p15","BLD_000030","Private Dwellings","property","Property I.12.15","r1-i12-p15","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2012%2015.htm","","","","r1-i12","339.4071","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i12-p15"
"r1-i12-p16","BLD_000031","Private Dwellings","property","Property I.12.16","r1-i12-p16","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2012%2016.htm","","","","r1-i12","160.7543","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i12-p16"
"r1-i12-p3","BLD_000032","Entertainment Buildings","property","Property I.12.3","r1-i12-p3","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2012%2003.htm","","Caupona all'insegna di Roma","","r1-i12","156.5566","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i12-p3"
"r1-i12-p4","BLD_000033","Workshops","property","Property I.12.4","r1-i12-p4","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2012%2004.htm","","","","r1-i12","13.45188","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i12-p4"
"r1-i12-p5","BLD_000034","Workshops","property","Property I.12.5","r1-i12-p5","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2012%2005.htm","","Caupona of Lutatius","","r1-i12","177.4904","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i12-p5"
"r1-i12-p6","BLD_000035","Private Dwellings","property","Property I.12.6","r1-i12-p6","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2012%2006.htm","","","","r1-i12","354.9271","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i12-p6"
"r1-i12-p7","BLD_000036","Workshops","property","Property I.12.7","r1-i12-p7","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2012%2007.htm","","","","r1-i12","186.2703","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i12-p7"
"r1-i12-p8","BLD_000037","Workshops","property","Property I.12.8","r1-i12-p8","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2012%2008.htm","","","","r1-i12","409.3839","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i12-p8"
"r1-i12-p9","BLD_000038","Workshops","property","Property I.12.9","r1-i12-p9","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2012%2009.htm","","","","r1-i12","395.5468","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i12-p9"
"r1-i13-p1","BLD_000039","Private Dwellings","property","Property I.13.1","r1-i13-p1","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2013%2001.htm","","Domus of the Tiberii-Crassi Crescens and Firmus","","r1-i13","275.9474","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i13-p1"
"r1-i13-p10","BLD_000040","Shops","property","Property I.13.10","r1-i13-p10","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2013%2010.htm","","","","r1-i13","52.91646","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i13-p10"
"r1-i13-p11","BLD_000041","Private Dwellings","property","Property I.13.11","r1-i13-p11","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2013%2011.htm","","","","r1-i13","167.3138","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i13-p11"
"r1-i13-p12","BLD_000042","Private Dwellings","property","Property I.13.12","r1-i13-p12","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2013%2012.htm","","","","r1-i13","752.2868","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i13-p12"
"r1-i13-p13","","","property","","","","","","","","r1-i13","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i13-p13"
"r1-i13-p14","","","property","","","","","","","","r1-i13","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i13-p14"
"r1-i13-p15","BLD_000043","Workshops","property","Property I.13.15","r1-i13-p15","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2013%2015.htm","","","","r1-i13","83.64291","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i13-p15"
"r1-i13-p16","BLD_000044","Private Dwellings","property","Property I.13.16","r1-i13-p16","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2013%2016.htm","","","","r1-i13","141.6804","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i13-p16"
"r1-i13-p2","BLD_000045","Private Dwellings","property","Property I.13.2","r1-i13-p2","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2013%2002.htm","","Domus of Sutoria Primigenia","","r1-i13","460.6419","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i13-p2"
"r1-i13-p3","","","property","","","","","","","","r1-i13","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i13-p3"
"r1-i13-p4","BLD_000046","Private Dwellings; Shops; Workshops","property","Property I.13.4","r1-i13-p4","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2013%2004.htm","","Domus of Taedia Secunda","","r1-i13","263.9422","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i13-p4"
"r1-i13-p6","","","property","","","","","","","","r1-i13","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i13-p6"
"r1-i13-p7","BLD_000047","Entertainment Buildings","property","Property I.13.7","r1-i13-p7","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2013%2007.htm","","","","r1-i13","169.8111","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i13-p7"
"r1-i13-p8","BLD_000048","Private Dwellings","property","Property I.13.8","r1-i13-p8","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2013%2008.htm","","","","r1-i13","163.0506","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i13-p8"
"r1-i13-p9","BLD_000049","Private Dwellings; Market Gardens","property","Property I.13.9","r1-i13-p9","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2013%2009.htm","","Domus of Lesbianus and Numicia Primigenia","","r1-i13","545.0039","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i13-p9"
"r1-i14-p1","BLD_000050","Private Dwellings; Entertainment Buildings; Shops","property","Property I.14.1","r1-i14-p1","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2014%2001.htm","","","","r1-i14","940.0085","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i14-p1"
"r1-i14-p12","","","property","","","","","","","","r1-i14","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i14-p12"
"r1-i14-p15","","","property","","","","","","","","r1-i14","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i14-p15"
"r1-i14-p2","BLD_000051","Private Dwellings; Market Garden","property","Property I.14.2","r1-i14-p2","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2014%2002.htm","","","","r1-i14","470.1865","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i14-p2"
"r1-i14-p3","BLD_000052","Private Dwellings","property","Property I.14.3","r1-i14-p3","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2014%2003.htm","","","","r1-i14","157.1599","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i14-p3"
"r1-i14-p4","BLD_000053","Private Dwellings; Entertainment Buildings; Market Gardens","property","Property I.14.4","r1-i14-p4","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2014%2004.htm","","","","r1-i14","849.127","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i14-p4"
"r1-i14-p5","","","property","","","","","","","","r1-i14","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i14-p5"
"r1-i14-p7","BLD_000054","Private Dwellings; Shops","property","Property I.14.7","r1-i14-p7","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2014%2007.htm","","del larario del Sarno","","r1-i14","137.8058","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i14-p7"
"r1-i14-p8","BLD_000055","Entertainment Buildings","property","Property I.14.8","r1-i14-p8","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2014%2008.htm","","","","r1-i14","233.3713","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i14-p8"
"r1-i15-p1","BLD_000056","Private Dwellings; Market Gardens; Shops","property","Property I.15.1","r1-i15-p1","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2015%2001.htm","","delle navi","","r1-i15","2719.386","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i15-p1"
"r1-i15-p3","","","property","","","","","","","","r1-i15","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i15-p3"
"r1-i15-p5","BLD_000057","Market Garden","property","Property I.15.5","r1-i15-p5","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2015%2005.htm","","","","r1-i15","46.34977","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i15-p5"
"r1-i16-p1","BLD_000058","Private Dwellings","property","Property I.16.1","r1-i16-p1","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2016%2001.htm","","","","r1-i16","6.373929","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i16-p1"
"r1-i16-p2","BLD_000059","Private Dwellings; Market Gardens","property","Property I.16.2","r1-i16-p2","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2016%2001a.htm","","","","r1-i16","1547.063","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i16-p2"
"r1-i16-p3","BLD_000060","Shops","property","Property I.16.3","r1-i16-p3","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2016%2003.htm","","","","r1-i16","128.5084","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i16-p3"
"r1-i16-p4","","","property","","","","","","","","r1-i16","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i16-p4"
"r1-i16-p5","BLD_000061","Private Dwellings","property","Property I.16.5","r1-i16-p5","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2016%2004.htm","","","","r1-i16","386.2953","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i16-p5"
"r1-i16-p6","BLD_000062","Private Dwellings; Workshops","property","Property I.16.6","r1-i16-p6","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2016%2006.htm","","","","r1-i16","684.8967","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i16-p6"
"r1-i16-p7","","","property","","","","","","","","r1-i16","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i16-p7"
"r1-i17-p1","BLD_000063","Private Dwellings","property","Property I.17.1","r1-i17-p1","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2017%2001.htm","","","","r1-i17","223.6772","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i17-p1"
"r1-i17-p2","BLD_000064","Private Dwellings; Shops","property","Property I.17.2","r1-i17-p2","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2017%2002.htm","","","","r1-i17","233.7187","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i17-p2"
"r1-i17-p3","","","property","","","","","","","","r1-i17","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i17-p3"
"r1-i17-p4","BLD_000065","Private Dwellings","property","Property I.17.4","r1-i17-p4","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2017%2004%20p1.htm","","Casa degli archi","","r1-i17","312.5153","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i17-p4"
"r1-i2-p1","BLD_000066","Entertainment Buildings","property","Property I.2.1","r1-i2-p1","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2001.htm","","","","r1-i2","103.2247","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p1"
"r1-i2-p10","BLD_000067","Private Dwellings; Shops","property","Property I.2.10","r1-i2-p10","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2010.htm","","Domus of L. and M. Volusii Fausti","","r1-i2","243.6742","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p10"
"r1-i2-p11","","","property","","","","","","","","r1-i2","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p11"
"r1-i2-p12","","","property","","","","","","","","r1-i2","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p12"
"r1-i2-p13","BLD_000068","Shops","property","Property I.2.13","r1-i2-p13","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2013.htm","","","","r1-i2","74.41498","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p13"
"r1-i2-p15","","","property","","","","","","","","r1-i2","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p15"
"r1-i2-p16","BLD_000069","Private Dwellings","property","Property I.2.16","r1-i2-p16","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2016.htm","","","","r1-i2","238.5208","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p16"
"r1-i2-p17","BLD_000070","Private Dwellings; Entertainment Buildings","property","Property I.2.17","r1-i2-p17","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2017.htm","","","","r1-i2","402.2052","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p17"
"r1-i2-p18","","","property","","","","","","","","r1-i2","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p18"
"r1-i2-p2","","","property","","","","","","","","r1-i2","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p2"
"r1-i2-p20","","","property","","","","","","","","r1-i2","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p20"
"r1-i2-p21","BLD_000071","Entertainment Buildings","property","Property I.2.21","r1-i2-p21","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2021.htm","","Caupona - Lupanar of Innulus and Papilio","","r1-i2","146.9841","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p21"
"r1-i2-p22","BLD_000072","Entertainment Buildings","property","Property I.2.22","r1-i2-p22","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2022.htm","","","","r1-i2","147.0978","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p22"
"r1-i2-p23","BLD_000073","Shops","property","Property I.2.23","r1-i2-p23","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2023.htm","","Taberna of Verecundus","","r1-i2","40.03286","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p23"
"r1-i2-p24","BLD_000074","Workshops; Entertainment Buildings","property","Property I.2.24","r1-i2-p24","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2024.htm","","Officina libraria of Acilius Cedrus, L. Aelius Cydinus.Appuleius Adiutor, P, Instuleius Nedymus, C. Nonius Lorica","","r1-i2","345.3605","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p24"
"r1-i2-p25","","","property","","","","","","","","r1-i2","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p25"
"r1-i2-p27","","","property","","","","","","","","r1-i2","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p27"
"r1-i2-p28","BLD_000075","Private Dwellings; Entertainment Buildings; Shops","property","Property I.2.28","r1-i2-p28","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2028.htm","","Casa dell' atrio tetrastilo","","r1-i2","389.9453","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p28"
"r1-i2-p29","","","property","","","","","","","","r1-i2","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p29"
"r1-i2-p3","BLD_000076","Private Dwellings; Shops","property","Property I.2.3","r1-i2-p3","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2003.htm","","","","r1-i2","289.094","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p3"
"r1-i2-p4","","","property","","","","","","","","r1-i2","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p4"
"r1-i2-p5","","","property","","","","","","","","r1-i2","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p5"
"r1-i2-p6","BLD_000077","Private Dwellings","property","Property I.2.6","r1-i2-p6","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2006.htm","","Casa dei mimi","Casa degli attori","r1-i2","308.952","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p6"
"r1-i2-p7","BLD_000078","Entertainment Buildings; Shops","property","Property I.2.7","r1-i2-p7","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2007.htm","","","","r1-i2","78.66758","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p7"
"r1-i2-p8","BLD_000079","Shops","property","Property I.2.8","r1-i2-p8","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2008.htm","","","","r1-i2","36.67192","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p8"
"r1-i2-p9","BLD_000080","Shops","property","Property I.2.9","r1-i2-p9","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2009.htm","","","","r1-i2","9.11807","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i2-p9"
"r1-i20-p1","BLD_000081","Entertainment Buildings; Shops; Workshops","property","Property I.20.1","r1-i20-p1","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2020%2001.htm","","Osteria del gladiatore","","r1-i20","1363.318","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i20-p1"
"r1-i20-p2","","","property","","","","","","","","r1-i20","","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i20-p2"
"r1-i20-p4","BLD_000082","Private Dwellings; Market Gardens","property","Property I.20.4","r1-i20-p4","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2020%2004.htm","","","","r1-i20","482.3297","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i20-p4"
"r1-i20-p5","BLD_000083","Workshops","property","Property I.20.5","r1-i20-p5","","http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2020%2005.htm","","","","r1-i20","741.6712","","","","http://p-lod.org/urn/urn:p-lod:id:r1-i20-p5"
