"id","type","label","p-in-p-url","pleiades-url","sort-order-label","spatially-within","wikidata-url","latitude","longitude","url"
"r1","region","Region I","http://pompeiiinpictures.com/pompeiiinpictures/Plans/regio_1.htm","https://pleiades.stoa.org/places/222138654","r01","pompeii","http://www.wikidata.org/entity/Q3931883",40.749759468899065,14.490918364023823,"http://p-lod.org/urn/urn:p-lod:id:r1"
"r2","region","Region II","http://pompeiiinpictures.com/pompeiiinpictures/Plans/regio_2.htm","https://pleiades.stoa.org/places/456321707","r02","pompeii","http://www.wikidata.org/entity/Q3931878",40.75116822460088,14.493993178151104,"http://p-lod.org/urn/urn:p-lod:id:r2"
"r3","region","Region III","http://pompeiiinpictures.com/pompeiiinpictures/Plans/regio_2.htm","https://pleiades.stoa.org/places/762217869","r03","pompeii","http://www.wikidata.org/entity/Q3931875",40.75261984513781,14.491568622909687,"http://p-lod.org/urn/urn:p-lod:id:r3"
"r4","region","Region IV","http://pompeiiinpictures.com/pompeiiinpictures/Plans/regio_4.htm","https://pleiades.stoa.org/places/984330149","r04","pompeii","http://www.wikidata.org/entity/Q3931881",40.75356349246492,14.489174699304167,"http://p-lod.org/urn/urn:p-lod:id:r4"
"r5","region","Region V","http://pompeiiinpictures.com/pompeiiinpictures/Plans/regio_5.htm","https://pleiades.stoa.org/places/984330150","r05","pompeii","http://www.wikidata.org/entity/Q3931890",40.75299759440338,14.48654175529755,"http://p-lod.org/urn/urn:p-lod:id:r5"
"r6","region","Region VI","http://pompeiiinpictures.com/pompeiiinpictures/Plans/regio_6.htm","https://pleiades.stoa.org/places/984330151","r06","pompeii","https://www.wikidata.org/entity/Q3931889",40.751683887182764,14.483530217830186,"http://p-lod.org/urn/urn:p-lod:id:r6"
"r7","region","Region VII","http://pompeiiinpictures.com/pompeiiinpictures/Plans/regio_7.htm","https://pleiades.stoa.org/places/599902893","r07","pompeii","https://www.wikidata.org/wiki/Q3931887",40.74992873895366,14.485176994558385,"http://p-lod.org/urn/urn:p-lod:id:r7"
"r8","region","Region VIII","http://pompeiiinpictures.com/pompeiiinpictures/Plans/regio_8.htm","https://pleiades.stoa.org/places/538911200","r08","pompeii","http://www.wikidata.org/entity/Q3931888",40.748641012156426,14.486784053817289,"http://p-lod.org/urn/urn:p-lod:id:r8"
"r9","region","Region IX","http://pompeiiinpictures.com/pompeiiinpictures/Plans/regio_9.htm","https://pleiades.stoa.org/places/680072866","r09","pompeii","http://www.wikidata.org/entity/Q3931882",40.751393621173854,14.488478964230906,"http://p-lod.org/urn/urn:p-lod:id:r9"
